Topic Number,Topic Title,Branch,Program,Close Date,Description,Flags
OSW26BZ05-DV019,Collaborative Distributed Swarm Radar,OSD,SBIR,"September 23, 2026","A network of radar-equipped UAS or sensors can be designed as a collaborative distributed radar team. Phase I is to study hardware architectures and develop algorithms to simulate networked sensor configurations to quantify anticipated performance gains with respect to ground or maritime target surveillance. Phase II will involve a small-scale swarm testbed, using three or more UAS surrogates each carrying a small radar module, to study newly proposed techniques and sensing paradigms. Phase III will evaluate new techniques for varying Service concepts of operation. Dual Use: Distributed radar has civilian potential in environmental monitoring such as swarms of gliders mapping terrain, surveillance, and emergency response.",T0.4 Registration check
DON26BZ05-NV074,Automated Post-Mission De-Brief and Re-Planning for Collaborative Combat Aircraft (CCA) Missions,NAVY,SBIR,"September 23, 2026","Modern naval operations require the ability to adapt swiftly to evolving threats, especially during multi-day missions involving CCA. Current post-mission analysis is resource-intensive and often too slow to provide timely, actionable insights for subsequent engagements. This program aims to automate the post-mission debrief and re-planning process for CCA missions to enable faster, more informed decision-making.  The primary objective is to develop automated capabilities for post-mission debriefing that facilitate rapid re-planning for subsequent missions. By leveraging advanced analytics, diagnostics, and algorithms, this program seeks to enhance the mission effectiveness and adaptability of CCA operations in contested environments. The solution must deliver actionable insights from mission data to inform re-planning decisions, optimizing tactics and operational parameters in real-time for the next engagement.  The solution will concentrate on developing algorithms and tools to analyze mission data, identify key performance metrics, characterize uncertainty, and generate explainable recommendations for subsequent mission planning. The main areas of emphasis include:  • Blue Force Optimization: Refining the operational parameters, autonomy behaviors, algorithms, task allocation, routing, tactics, and employment concepts of collaborative combat aircraft based on mission outcomes. Recommendations should identify expected mission benefits, survivability implications, operational constraints, and confidence in the projected result.  • Red Force Modeling: Improving mission planning and execution through analysis of adversary tactics, capabilities, threat profiles, observed behaviors, and likely future course of action. The solution should identify uncertainty in Red Force assessments and provide alternative threat interpretations where the available evidence does not support a single high-confidence conclusion.  • Autonomous Re-Planning: Use machine learning, data analytics, optimization and decision-support methods to generate and compare potential follow-on mission plans based on real world outcomes and lessons learned. The solution should recommend multiple feasible courses of action, identify associated confidence levels and operational tradeoffs, and provide traceable rationale to support operator review and approval.  This effort will also seek to answer the following critical questions: • What data points are most crucial for effective post-mission analysis and re-planning? • How can systems be designed to enable rapid, iterative updates to mission plans? • What mechanisms are most effective for selecting and adapting algorithms in real-time based on the available data?  By tackling these challenges, the program aims to create a framework that streamlines post-mission analysis and enables rapid, intelligent re-planning for CCA missions. This will ultimately enhance the effectiveness and survivability of naval assets in high-stakes environments.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor and/or subcontractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVAIR in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",T0.3 CLASSIFIED | T0.3 NO FOREIGN INFLUENCE | T0.3 32 U.S.C. § 2004.20 | T0.4 Registration check
DAF26BZ05-NV026,Automated Lethality,USAF,SBIR,"September 23, 2026","The challenge of this topic is to automate the weaponeering process via advanced software and embed it into hardware. It is desired to develop a full software stack to create a small footprint lethality software tool for embedded applications. This includes software to automate target model generation, probability of kill calculation, and uncertainty quantification. The solution will require methodologies that will automate many of the processes needed for lethality simulations. It is desired to be able to use imagery and other visual inputs to automate the process of generating a target structure model. This capability should be capable of determining structure type, structural layout, and sizes of structural members. Once the structural target is generated, the automated software approaches should be capable of determining the probability of kill, and then determining optimal engagement scenarios in an automated and very fast-running approach. The resulting software stack needs to have a small footprint and be able to be embedded in hardware. ",T0.4 Registration check
DAF26BZ05-NV027,Integrating Neural Architectures for Brain-Inspired AI with Low SWAP,USAF,SBIR,"September 23, 2026","Current artificial intelligence (AI) systems predominantly rely on single, monolithic neural network architectures, which limits their ability to match the human brain's remarkable computational efficiency and adaptability. The human neocortex achieves this through its intricate interplay of diverse neuronal populations and specialized cortical areas. This SBIR solicitation invites proposals for research that aims to emulate this complex organization by integrating multiple neural architectures – such as convolutional networks, recurrent networks, transformers, spiking neural networks, and biologically-inspired models – within a single architecture.This research seeks to bridge the gap between current AI limitations and the flexible, multi-modal processing capabilities observed in the human brain. Proposals should focus on developing innovative methodologies for: (1) seamlessly interconnecting diverse neural modules, (2) dynamically allocating computational resources based on task demands, and (3) achieving significant reductions in Size, Weight, and Power (SWAP) consumption compared to traditional AI architectures.This integration should leverage principles inspired by the neocortex's hierarchical organization and functional specialization, aiming to achieve:Enhanced Cognitive Capabilities: Develop AI systems capable of performing complex tasks requiring multi-modal perception, reasoning, and decision-making, surpassing the limitations of single-architecture approaches.Improved Efficiency and Adaptability: Explore novel hardware and software solutions that enable efficient information flow and communication between integrated networks, leading to improved computational efficiency and adaptability to novel situations.This research has the potential to advance the field of artificial intelligence by creating more efficient, robust, and brain-inspired AI systems with applications in fields like robotics, healthcare, and autonomous systems.",T0.4 Registration check
DAF26BZ05-DV030,High Temp Semiconductor Transistors for Hot DoW Environments and Electronic Warfare,USAF,SBIR,"September 23, 2026","The United States Air Force seeks the development of high-temperature semiconductor transistor solutions to enable electronics operation in high temperature DoW environments and improved performance in electronic warfare (EW) applications. With the continued evolution of advanced military systems operating under increasing heat loads, including those from the environment and those generated as waste-heat inside platforms, there is an increasing need for semiconductors that can function reliably at extreme temperatures. Today's commercial-off-the-shelf electronics cannot operate at temperatures more than 250°C with limited transistor count and performance, falling short of this new DoW electronics need. To bridge this technology gap, this topic solicits high temperature semiconductor electronics device and circuit solutions which can operate at temperatures at or above 500°C to address these DoW high temperature environment and electronic warfare needs. Proposed efforts must have already identified a clear DoW hot environment and/or Electronic Warfare application with a credible path to transition into the microelectronics defense industrial base. Preference will be given to solutions that have identified and target transition to an electronic warfare application while using an underlying device and circuit technology which can be adapted to a broad set of DoW high temperature electronics needs. Based on that identified application, proposed efforts should include circuit design, semiconductor device design, device fabrication, and device characterization in order to develop this technology and demonstrate its performance. Circuit design must be used to derive device performance metrics, based on 100-1,000 transistor count circuit building blocks for a future 5,000 – 100,000 transistor count integrated circuits appropriate for transition to the identified application.  The desired operating temperature is at or above 500°C and operating frequency at temperature is minimum 1MHz, Target 10MHz, higher is desired.  The device portion of proposed efforts should design, develop, and experimentally demonstrate transistors consistent with performance metrics determined from the circuit design effort. Solutions which can realize complementary transistor circuit topologies (meaning two types of transistors with threshold voltages of opposite polarity and carrier type) to support best-industry-practice circuit design approaches are preferred. Device failure analysis though structural, chemical, and electrical characterization methods, such as cross-sectional SEM imaging, spatially resolved energy dispersive X-ray spectroscopy, and temperature-soak in-situ electrical tests, are desired to improve transistor designs towards the circuit metrics and derived device metrics.  These particular techniques are only examples, not requirements, and specific appropriate techniques should be included and justified in the proposal to support the required failure analysis. Consistent with the description above, the anticipated Technology Readiness Level (TRL) of the proposed semiconductor device and circuit solutions at the start of the project is TRL 3, denoting that analytical and experimental critical function and/or proof-of-concept has been demonstrated in past work. By the end of Phase II, the anticipated TRL is 5, component validation in a relevant environment, achieved though high temperature semiconductor device testing at or above 500°C in this context.",T0.3 ITAR | T0.4 Registration check
DAF26BZ05-DV031,F-16 Agnostic Rapid Weapons Integration,USAF,SBIR,"September 23, 2026","The Department of War recognizes that legacy software airworthiness processes within the Air Force are significantly limiting the ability to field software updates for aircraft on shorter timelines to integrate software updates more rapidly into its warfighting systems. The U.S. faces a critical shortfall in its ability to rapidly deploy new weapons and software. The existing munitions integration process is excessively slow and inflexible, often taking three to five years, preventing the U.S. from effectively countering rapidly specially evolving threats. This problem is especially urgent for employment of solutions from development of Family of Affordable Mass Munitions (FAMM).  A new, modular, and scalable weapons integration architecture is vital for rapid adaptation to new technologies and mission demands. This topic seeks to develop a modular and scalable weapons integration architecture, developed on the Open Systems Enclave (OSE) system to meet the critical F-16 modernization requirements outlined in the FY26 Air Reserve Component Modernization Book. A fielded solution will enable rapid airframe integration of new munitions, reducing the timeline from three to five years to one to two months (or days in an emergency). The speed of innovation accelerates rapidly when external capabilities are combined with an OSE. ",T0.4 Registration check
OSW26BZ05-NV017,Sensing Algorithms for Bandwidth Efficient Edge Radars (SABER),OSD,SBIR,"September 23, 2026","Distributed sensing radars serve as an important component of the Joint Force strategy for situational awareness, e.g., US Navy’s vision of Distributed Maritime Operations (DMO) [1] and advanced tactical imaging research. By networking physically dispersed radar nodes into a unified cooperative mesh, the Joint Force can fuse information to enhance surface target detection, track and identification. Furthermore, coordinating information from these dispersed nodes overcomes traditional single-platform limitations [1] such as single points of failure and limited angular diversity, especially in contested, high clutter environments. The transition to decentralized sensing and DMO fundamentally shifts the burden of performance from individual platform sensors to the underlying communication networks.  Functioning as a cohesive, decentralized system requires synchronization and low-latency data links. This is especially critical for imaging nodes. The fidelity of a decentralized system is directly proportional to the amount of data the network can move. Streaming raw radio frequency (RF) data allows for maximum imaging resolution but severely strains network capacity. Conversely, enabling nodes to process their own radar data and only sharing images or features reduces bandwidth requirements but results in degraded imaging in collaborative scenarios. Consequently, there is an operational need for new architectures and processing frameworks that explicitly relate communication, computation and sensing resources to surface target detection, tracking and identification performance metrics.  To address these challenges, this SBIR topic seeks solutions that jointly optimize communications and target inference in a decentralized radar sensing framework [2, 3, 4] that processes data locally and only transmits actionable intelligence or compressed imaging features into the network.",T0.4 Registration check
DON26BZ05-NV078,Tech Data Interactive Electronic Technical Manuals Convertor,NAVY,SBIR,"September 23, 2026","The Navy is currently standardizing the format for technical manuals to facilitate the creation, management, and publication of IETMs. A significant portion of existing technical manuals has yet to be converted to the IETM format, making it challenging for users to easily navigate the information. These manuals also exist in various formats, lacking complete uniformity, which complicates parsing by automated tools and accurate display to the end-user.  The primary goal is to develop a tool or software that can automate the transformation of these diverse technical manuals into eXtensible Markup Language (XML), as XML documents are highly adaptable for various outputs. This XML output must then be formatted for compatibility with a Commercial Off-The-Shelf (COTS) or Government Off-The-Shelf (GOTS) tool, which can convert the information into step-by-step instructions.  Specifically, the objective is to create a tool capable of transforming any existing Navy technical manual, regardless of its original specification and format, while adhering to data rights release requirements. The transformed output must contain the appropriate distribution markings that match original inputted technical manual document and Defense Federal Acquisition Regulation Supplement (DFARS) markings. The output must be viewable in our designated IETMS viewer. The tool should be able to parse manuals from various formats, including PDFs, MIL-STD-3001-1, MIL-DTL-81310, S1000D v3.0, and S1000D v4.0, to extract relevant information.  This extracted information should be formatted for integration into a tool that generates quick, readable step-by-step instructions. These instructions should reference corresponding material and be displayed to the end-user, via an Extended Reality (XR) headset or tablet, during maintenance, troubleshooting, or operational procedures. The aim is to present these instructions within an Augmented Reality (AR) environment to enhance readability and digestibility. The tool should also be designed for integration with existing commercial or government tools.",T0.4 Registration check
DME26BZ05-NV001,Additive Manufacturing for Flexible Electronics,DMEA,SBIR,"September 23, 2026","Additive manufacturing, also referred to as 3D printing, has seen innovation in several critical areas in the field of electronics packaging and assembly from wafer level to printed circuit boards for low volume manufacturing and prototyping. Ceramic interposers are being manufactured using vat photopolymerization technologies to create substrates with channels for interconnects, that are backfilled through the process of metal infiltrations [1] The unique geometries enabled by the layer-to-layer technologies allow for routing options not possible with traditional fabrication techniques or fabrication quantities that are not economically viable. Semiconductor die pads to package substrate interconnects through 3D printed traces have been explored to replace traditional wire bonding connections. This enables smaller form factors as the wire height requirements are replaced with flat aerosol jet printed conductive traces created using nanoparticle inks [3]. The formulations of the conductive ink still pose challenges with material compatibility between interfaces [4], electrical resistance, and limited thermal operational ranges as each company creates material best suited to their printing system [2]. Printed interconnects open the doors for faster turnaround time, performance improvement through impedance matching for packaged devices [3], shorter interconnect lengths, and chip scaling through tool path alterations [4]. Additively manufactured printed circuit board assemblies which utilized printed traces and interconnects have also integrated printed passives such as resistors and capacitors into the boards [5]. These targets eliminating the need to pick and place passives in the assembly process as potentially any passive desired could be printed onto the boards. The three-dimensions fabrication methods also allow for the resistance values to be adjusted within a limited space.   Virtually every DoW system with electronics requires PCB manufacturing. Commercially available Substrate Manufacturing techniques and Advanced Packaging techniques are extremely expensive and require long lead times and are therefore not conducive to High Mix - Low Volume manufacturing efforts. It is desired to improve and validate existing additive manufacturing methods for use on government and commercial systems.  Existing additive substrate fabrication and additive advanced packaging methods have been proven to be flexible, adaptable, and cost effective, there remains an undefined reliability risk. DoW is looking to enable these technologies. Specifically, by obtaining reliability data using MIL-STD quality and reliability metrics, these additive manufacturing technologies could become a viable alternative to traditional substrate manufacturing and advanced packaging. As a Phase I study, DoW is seeking the feasibility of developing a prototype via this effort directly comparable to existing Radio Frequency multichip modules (MCMs) currently used by the DoW. Additionally, the feasibility study may offer additional miniaturization or other forms of improvements that are of extreme interest to DoW. If such technology can produce prototypes with reliability comparable to standard manufacturing or reliable enough to fulfill target DoW missions, the additive manufacturing technologies could be used extensively on relevant microelectronic designs to reduce cost and manufacturing timelines for DoW Programs. ",T0.4 Registration check
DAF26TZ05-NV005,Real Time Enhanced Fine Tracking in Directed Energy Applications,USAF,STTR,"September 23, 2026","Current tracking capabilities in DE utilize 2D imagery. Low flying targets against cluttered backgrounds (e.g., drones) present a challenging tracking environment for track algorithms that leverage 2D information alone. A current tracking algorithm might use something like a Fitts correlation tracker [2], which correlates features in the scene with a known template of the target. This requires target identification followed by reference to a look-up table to determine the proper template to use with the correlation tracker, which can be difficult with 2D imagery, as a 2D image of the target will only provide a projection of the target image along the optical axis. 3D coherent imaging with digital holography [3,4] provides a solution for the problems associated with 2D imaging that are described here. Emerging coherent 3D imaging modalities provide complex-valued images (referred to as 2.5D images) with amplitude corresponding to a conventional 2D image and phase corresponding to the range to the target. The range images themselves (which describe the range to the target for each transverse pixel) are highly robust to scintillation and speckle [5,6]. Going further, novel methods in image restoration that include a combination of physics-based [7-11] and machine-learning [10,11] models can provide effective and computationally efficient ways to remove the anisoplanatic distortions in the image. Note that alternative 3D imaging methods do exist (e.g., Geiger mode 3D imaging with avalanche photodiodes [5]). The Phase I effort should include an analysis of existing methods before selecting one to explore for the given application. The topic proposed here is nominally focused on the fine track portion of the DE kill chain, though the technology could be used for acquisition/coarse tracking as well. We briefly summarize the key features of fine tracking in DE, which performers should keep in mind when designing systems: For fine tracking, the atmosphere and aero-optic disturbances impose phase aberrations that can severely degrade imagery. Importantly, tracking at this stage influences aimpoint maintenance, which requires fine track loops to run at much higher framerates (> 1 kHz) to keep up with the changing atmosphere while employing narrower fields of view (fractions of a degree). 3D imaging provides a path forward for enhanced pose estimation and aimpoint maintenance in the context of fine tracking. With regards to illumination for fine tracking, active coherent illumination can result in non-uniform illumination patterns on target, due to scintillation, and in speckle noise in received target imagery. Partially coherent (or multiple coherent) illuminators can reduce the effects of these two noise terms, but at the cost of the ability to perform coherent imaging and/or additional illuminators. On a similar note, coherent imaging techniques (such as digital holography and phase retrieval) can allow for digital image correction of anisoplanatic phase errors using physics-based [7-11] and machine-learning-based [10,11] image reconstruction algorithms. Note that active illumination, in general, enables tracking technology that can perform in day or night. In general, performers should be aware of the general requirements for fine tracking and should tailor designs to the technology best suited for the application. This topic seeks the development and testing of a computationally efficient processing pipeline that meets the requirements for real-time integration into a directed energy system. The goals are to design (Phase I) and demonstrate (Phase II) the processing pipeline for a 3D imaging system that can operate effectively over long standoff ranges through aerooptics/turbulence with extended, non-cooperative targets against cluttered backgrounds. The Phase I effort will design the 3D measurement technique, corresponding algorithms, and a concept for the integrated hardware. This should include analysis of the latency and throughput of the algorithms and processing hardware for real-time, closed-loop aimpoint maintenance. Then, the Phase II effort will implement the approach in a prototype demonstration system, which would deploy such algorithms onto high-speed processors and integrate with hardware that allows for real-time closed-loop correction of the line-of-sight. Such a demonstration could take place with a scaled-laboratory optical system. Alternatively, an outdoor demonstration would be appropriate as well. Key products include: 1) algorithms and software to improve 3D imagery and maintain an aimpoint by taking advantage of the 3D data, and 2) demonstrated prototype processor with real-time test results.To meet the objective, potential tasks in several research directions are described below. These tasks are open ended, and comprehensive results are not expected before Phase III.Basic research in 3D imaging1.Determine system-level requirements for a real-time 3D imaging and tracking system2.Explore the available motion-compensated 3D imaging techniques and select one for the prototype system after a pros/cons analysis3.Develop an empirical and/or theoretical signal-to-noise ratio model of the 3D imaging systemin questionApplied research in 3D tracking and aimpoint maintenance1.Mature and develop existing 3D tracking algorithms to work with 3D data from a vast array of imaging modalities2.Determine what benefits arise from tracking algorithms that make use of coherent 3D images (and 2.5D images as well), in specific3.Develop software architecture that is capable of real-time trackingHardware development (Phase II and beyond)1.Leverage system-level requirements (see Task 1) to build a prototype illuminator system2.Leverage software development (see Task 2) to integrate real-time tracking capabilities3.Demonstrate hardware in laboratory or outdoor testing environment",STTR: Requires RI partner | T0.4 Registration check
