"Topic Title","Topic Description","Topic Number",Phase,Program,Agency,Branch,"Close Date","Release Date","Open Date","Solicitation Agency URL","Solicitation Status","Solicitation Year",SBIRTopicLink
"Collaborative Distributed Swarm Radar","A network of radar-equipped UAS or sensors can be designed as a collaborative distributed radar team. Phase I is to study hardware architectures and develop algorithms to simulate networked sensor configurations to quantify anticipated performance gains with respect to ground or maritime target surveillance. Phase II will involve a small-scale swarm testbed, using three or more UAS surrogates each carrying a small radar module, to study newly proposed techniques and sensing paradigms. Phase III will evaluate new techniques for varying Service concepts of operation. Dual Use: Distributed radar has civilian potential in environmental monitoring such as swarms of gliders mapping terrain, surveillance, and emergency response.",OSW26BZ05-DV019,BOTH,SBIR,DOD,OSD,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12846
"Signal Classification and Anomaly Detection in Contested Spectral Environments","Modern military operations are conducted in contested RF spectrum environments, where adversaries’ actions produce a growing number of complex spectral signatures. The operational need for automation of RF signal classification and anomaly detection using ML techniques addresses threat detection, pattern recognition, and predictive analysis within C5ISR systems – which currently require a manual, human-in-the-loop process. With an exponential increased demand for automated signal processing and the limited manpower available with this expertise, this capability will dramatically increase the capacity of SIGINT analysis and processing functions which are critical features for C5ISR systems. Standard machine learning approaches are often insufficient as they require massive, labeled datasets that do not exist for future conflicts and frequently produce ""black box"" solutions that are difficult for commanders to trust, interpret, or certify. This topic seeks an alternative approach for an ML-based solution that can classify RF signals based on similar patterns of emission and provide the flexibility of integration on COTS platforms to facilitate integration with existing C5ISR systems. The desired ML capability will be modular and scalable to fine-tune classification inference results for varying base modulations and frequency ranges. The proposed solution and approach must demonstrate the following critical attributes:  1.	Dominant Performance: The system must generate run-time identification and classification inferences that are demonstrably faster as compared to expert SIGINT analysts in complex RF environments scenarios. 2.	Human-Interoperable: Generated results must be transparent and understandable, composed of modular components (i.e., not a monolithic neural network). Commanders must be able to understand the ""why"" behind the recommendations. 3.	Scalable: The approach must be capable of scaling from tactical engagements (e.g., individual flight combat) to operational-level scenarios involving thousands of assets across multiple domains (air, sea, land) and extended time horizons. 4.	Computational Efficiency: The solution must operate effectively on modest computational footprints (e.g., single or small-cluster CPU-based workstations), avoiding reliance on cost-prohibitive, large-scale GPU clusters for its core training and inference loops. 5.	Improved Accuracy: The approach must describe the methodology and metrics for improved accuracy over time as additional data sets, results, and resources are employed. 6.	Delivery & Integration: The approach must describe the Continuous Integration / Continuous Deployment methodology to include automation for rapid development changes, testing, and containerized deployment. This solicitation is for a Direct to Phase II (D2P2) award. Offerors are expected to have already achieved significant technical maturity and be prepared to demonstrate existing capabilities upon request. ",OSW26BZ05-DV022,BOTH,SBIR,DOD,OSD,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12849
"Automated Post-Mission De-Brief and Re-Planning for Collaborative Combat Aircraft (CCA) Missions","Modern naval operations require the ability to adapt swiftly to evolving threats, especially during multi-day missions involving CCA. Current post-mission analysis is resource-intensive and often too slow to provide timely, actionable insights for subsequent engagements. This program aims to automate the post-mission debrief and re-planning process for CCA missions to enable faster, more informed decision-making.  The primary objective is to develop automated capabilities for post-mission debriefing that facilitate rapid re-planning for subsequent missions. By leveraging advanced analytics, diagnostics, and algorithms, this program seeks to enhance the mission effectiveness and adaptability of CCA operations in contested environments. The solution must deliver actionable insights from mission data to inform re-planning decisions, optimizing tactics and operational parameters in real-time for the next engagement.  The solution will concentrate on developing algorithms and tools to analyze mission data, identify key performance metrics, characterize uncertainty, and generate explainable recommendations for subsequent mission planning. The main areas of emphasis include:  • Blue Force Optimization: Refining the operational parameters, autonomy behaviors, algorithms, task allocation, routing, tactics, and employment concepts of collaborative combat aircraft based on mission outcomes. Recommendations should identify expected mission benefits, survivability implications, operational constraints, and confidence in the projected result.  • Red Force Modeling: Improving mission planning and execution through analysis of adversary tactics, capabilities, threat profiles, observed behaviors, and likely future course of action. The solution should identify uncertainty in Red Force assessments and provide alternative threat interpretations where the available evidence does not support a single high-confidence conclusion.  • Autonomous Re-Planning: Use machine learning, data analytics, optimization and decision-support methods to generate and compare potential follow-on mission plans based on real world outcomes and lessons learned. The solution should recommend multiple feasible courses of action, identify associated confidence levels and operational tradeoffs, and provide traceable rationale to support operator review and approval.  This effort will also seek to answer the following critical questions: • What data points are most crucial for effective post-mission analysis and re-planning? • How can systems be designed to enable rapid, iterative updates to mission plans? • What mechanisms are most effective for selecting and adapting algorithms in real-time based on the available data?  By tackling these challenges, the program aims to create a framework that streamlines post-mission analysis and enables rapid, intelligent re-planning for CCA missions. This will ultimately enhance the effectiveness and survivability of naval assets in high-stakes environments.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor and/or subcontractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVAIR in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ05-NV074,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12857
"DIRECT TO PHASE II: Intelligent Data Analysis of Post-Mission Reporting Artifacts & Data","The U.S. Navy collects vast amounts of high-quality data for training and operational use. While the quantity and quality of this data are crucial for advanced automation and smart systems, effectively using it presents a significant challenge. The Navy requires a solution that enables personnel who are not data scientists to easily connect, analyze, and visualize data from various sources. The goal is to empower them to make data-driven decisions that improve operational and training efficiency.    The increasing volume and complexity of data within the Fleet demand an advanced analysis solution that surpasses traditional methods. This topic seeks a platform that allows personnel to “conversationally” access and utilize extensive data resources, thereby enhancing the Fleet's analytical capabilities. The ideal solution will be a user-friendly platform for creating and sharing interactive reports and dashboards, fostering a culture of data-driven collaboration and decision-making.  Key Solution Requirements: The proposed solution must be robust, scalable, and capable of efficiently handling large, heterogeneous datasets. It should include the following features:  • Connect to a wide range of data sources, including spreadsheets, SQL databases, cloud services, and on-premises resources. It must also transform raw data by cleaning and preparing it for analysis. • Offer an intuitive interface that allows naval personnel of varying expertise to interact with the tools and interpret results in real-time or near real-time. Users should be able to create relationships between data tables, define measures, and build calculations. • Enable users to ask questions and propose analyses in plain language and receive relevant visualizations as answers. This conversational approach will bridge the gap between data experts and non-specialists. • Provide comprehensive data visualization functions, allowing users to explore and present insights through interactive charts, graphs, tables, and other visual representations like maps and figures. • Integrate automated data preprocessing and cleansing techniques to ensure data quality and consistency. • The accuracy of the outputs is paramount. The solution must provide transparent, explainable methods so personnel can understand and trust the rationale behind data-driven recommendations. Users must also have access to manual methods to verify the results. • The solution must adhere to the Department of War’s (DoW) ethical principles (Responsible, Equitable, Traceable, Reliable, Governable), current policies on automated technology, and all Risk Management Framework (RMF) guidance.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor and/or subcontractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVAIR in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ05-DV081,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12863
"DIRECT TO PHASE II: Development of Customized Aerospace Lightweight, High Power, High Frequency Bandwidth, Nanocrystalline EMI Filters","The U.S. Navy is embarking on opportunities for increased aerospace platform electrification to meet its unique demands on aircraft power and propulsion systems which drives a significant need for increased power density and high temperature components. A key enabler is wide bandgap (WBG) device-based power conversion. These technologies bring significant benefits to improving fielded aerospace electrical power system challenges while also driving towards new advanced platform capabilities. However, they also bring a new set of significant challenges, namely electromagnetic interference (EMI) and electromagnetic compatibility (EMC) which, if not mitigated properly, may lead to avionics or mission system degradation jeopardizing the platform’s warfighting mission readiness.   Nanocrystalline materials are an emerging technology that provide opportunity to bring significant weight savings to common mode (CM) inductors due to its high saturation flux density, high temperature capability, and low core losses. While existing COTS nanocrystalline magnetic cores have mainly focused on high power, low frequency (i.e., industrial drives) or low power, high frequency (i.e., radio frequency system) applications, the Navy requires high power and high frequency bandwidth nanocrystalline cores to achieve desired filter attenuation performance and power density requirements for military aerospace applications. In many cases, the components required for these aerospace applications (e.g., tactical fighter aircraft or future hybrid electric/fully electric aircraft) differ significantly from existing COTS components required for commercial electric vehicle markets due to the higher power, increased power density, and more stringent EMI requirements in the military aerospace environment.   This topic is focused on maturation of the materials and components to enable development of system level filter hardware solutions that are reliable and maintain high performance response for military aerospace applications, with option for commercial use, as documented in DO-160 and MIL-STD-461 for EMI performance.   The solution should demonstrate a greater than 50% weight reduction compared to commercial off-the-shelf (COTS) CMVC filters and inductor components through the development and use of customized high power and high frequency bandwidth nanocrystalline core materials.",DON26BZ05-DV086,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12868
"DIRECT TO PHASE II: Edge-Deployed Explainable Digital-Twin Condition Based Maintenance CBM+ Platforms for Carrier-Based Systems","Carrier-based aviation platforms under NAVAIR generate massive, high-frequency streams of voltage, current, pressure, vibration, and temperature data across multiple subsystems—from the Advanced Arresting Gear (AAG) and steam catapults to hydraulic deck handlers and fuel-management valves—but Denied, Disrupted, Intermittent, Limited (DDIL) connectivity in carrier deployment forces maintenance crews to batch-download raw logs via physical media and ferry them ashore for analysis, introducing critical delays that can obscure early indicators of seal leakage, actuator fatigue, or control-valve drift, drive up unscheduled maintenance and lifecycle costs, and jeopardize sortie rates and aircrew safety in forward-deployed environments. DoDI 4151.22 mandates that CBM+ be “examined, evaluated, integrated, and incorporated” into weapon-system engineering and sustainment plans to optimize readiness and reduce life-cycle costs, and OPNAVINST 4790.16C requires Navy program managers to document CBM+ implementation and assess CBM+ maturity at every acquisition and sustainment review. By embedding a reusable, edge-deployed digital-twin core with semantic-AI reasoning, CBM+ workstations directly fulfill these requirements, enabling on-platform prognostics, formal CBM+ documentation, and continuous maturity assessments throughout NAVAIR system development and fielding.   Topic Focus: The Navy seeks proposals for an edge-deployed (at the point of need, e.g., on the ship), explainable (i.e., Explainable Artificial Intelligence) Digital-Twin CBM+ Platform—hereafter “CBM+ Workstation”—that: 1. Ingests & Reduces High-Rate Sensor Streams Onboard. Leverage model-order-reduction and adaptive sampling to transform raw sensor traces (e.g., water-twister pressure, hydraulic fluid temperature, vibrations, noise, electric-motor power conditioning system sensors, etc.) into compact, information-rich features in real time into compact, high-value analysis that facilitates transmission under DDIL limitations. 2. Embeds Hybrid Physics & Semantic-AI Reasoning. Fuse first-principles Digital Twin models with maintenance-domain knowledge graphs and shipboard asset and contextual mission-specific knowledge graphs to automatically infer and explain emerging fault modes, delivering human-readable diagnostics rather than opaque alerts, and providing fault isolation to the Lowest Replaceable Unit (LRU). 3. Supports Plug-and-Play Workstation Generation. Provide a secure developer API to instantiate customer-specific CBM+ “workstations” for any carrier-based subsystem, enabling rapid customization and field upgrades without source-code changes. 4. Meets Shipboard Resilience Standards. Demonstrate performance on MIL-SPEC or ruggedized hardware, with <1 second anomaly-detection latency and <10 MB/hour data-transfer footprints to shore when intermittent links reconnect. 5. Provide integration via high-level APIs with shore-based analytics and logistics processes.  By funding this topic, the Navy will catalyze a reusable, standards-based CBM+ solution family—accelerating deployment of predictive-maintenance workstations across the fleet, reducing unscheduled downtime, and ensuring mission readiness even in contested, communication-limited environments.",DON26BZ05-DV087,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12869
"Automated Lethality","The challenge of this topic is to automate the weaponeering process via advanced software and embed it into hardware. It is desired to develop a full software stack to create a small footprint lethality software tool for embedded applications. This includes software to automate target model generation, probability of kill calculation, and uncertainty quantification. The solution will require methodologies that will automate many of the processes needed for lethality simulations. It is desired to be able to use imagery and other visual inputs to automate the process of generating a target structure model. This capability should be capable of determining structure type, structural layout, and sizes of structural members. Once the structural target is generated, the automated software approaches should be capable of determining the probability of kill, and then determining optimal engagement scenarios in an automated and very fast-running approach. The resulting software stack needs to have a small footprint and be able to be embedded in hardware. ",DAF26BZ05-NV026,BOTH,SBIR,DOD,USAF,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12876
"Integrating Neural Architectures for Brain-Inspired AI with Low SWAP","Current artificial intelligence (AI) systems predominantly rely on single, monolithic neural network architectures, which limits their ability to match the human brain's remarkable computational efficiency and adaptability. The human neocortex achieves this through its intricate interplay of diverse neuronal populations and specialized cortical areas. This SBIR solicitation invites proposals for research that aims to emulate this complex organization by integrating multiple neural architectures – such as convolutional networks, recurrent networks, transformers, spiking neural networks, and biologically-inspired models – within a single architecture.This research seeks to bridge the gap between current AI limitations and the flexible, multi-modal processing capabilities observed in the human brain. Proposals should focus on developing innovative methodologies for: (1) seamlessly interconnecting diverse neural modules, (2) dynamically allocating computational resources based on task demands, and (3) achieving significant reductions in Size, Weight, and Power (SWAP) consumption compared to traditional AI architectures.This integration should leverage principles inspired by the neocortex's hierarchical organization and functional specialization, aiming to achieve:Enhanced Cognitive Capabilities: Develop AI systems capable of performing complex tasks requiring multi-modal perception, reasoning, and decision-making, surpassing the limitations of single-architecture approaches.Improved Efficiency and Adaptability: Explore novel hardware and software solutions that enable efficient information flow and communication between integrated networks, leading to improved computational efficiency and adaptability to novel situations.This research has the potential to advance the field of artificial intelligence by creating more efficient, robust, and brain-inspired AI systems with applications in fields like robotics, healthcare, and autonomous systems.",DAF26BZ05-NV027,BOTH,SBIR,DOD,USAF,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12877
"High Temp Semiconductor Transistors for Hot DoW Environments and Electronic Warfare","The United States Air Force seeks the development of high-temperature semiconductor transistor solutions to enable electronics operation in high temperature DoW environments and improved performance in electronic warfare (EW) applications. With the continued evolution of advanced military systems operating under increasing heat loads, including those from the environment and those generated as waste-heat inside platforms, there is an increasing need for semiconductors that can function reliably at extreme temperatures. Today's commercial-off-the-shelf electronics cannot operate at temperatures more than 250°C with limited transistor count and performance, falling short of this new DoW electronics need. To bridge this technology gap, this topic solicits high temperature semiconductor electronics device and circuit solutions which can operate at temperatures at or above 500°C to address these DoW high temperature environment and electronic warfare needs. Proposed efforts must have already identified a clear DoW hot environment and/or Electronic Warfare application with a credible path to transition into the microelectronics defense industrial base. Preference will be given to solutions that have identified and target transition to an electronic warfare application while using an underlying device and circuit technology which can be adapted to a broad set of DoW high temperature electronics needs. Based on that identified application, proposed efforts should include circuit design, semiconductor device design, device fabrication, and device characterization in order to develop this technology and demonstrate its performance. Circuit design must be used to derive device performance metrics, based on 100-1,000 transistor count circuit building blocks for a future 5,000 – 100,000 transistor count integrated circuits appropriate for transition to the identified application.  The desired operating temperature is at or above 500°C and operating frequency at temperature is minimum 1MHz, Target 10MHz, higher is desired.  The device portion of proposed efforts should design, develop, and experimentally demonstrate transistors consistent with performance metrics determined from the circuit design effort. Solutions which can realize complementary transistor circuit topologies (meaning two types of transistors with threshold voltages of opposite polarity and carrier type) to support best-industry-practice circuit design approaches are preferred. Device failure analysis though structural, chemical, and electrical characterization methods, such as cross-sectional SEM imaging, spatially resolved energy dispersive X-ray spectroscopy, and temperature-soak in-situ electrical tests, are desired to improve transistor designs towards the circuit metrics and derived device metrics.  These particular techniques are only examples, not requirements, and specific appropriate techniques should be included and justified in the proposal to support the required failure analysis. Consistent with the description above, the anticipated Technology Readiness Level (TRL) of the proposed semiconductor device and circuit solutions at the start of the project is TRL 3, denoting that analytical and experimental critical function and/or proof-of-concept has been demonstrated in past work. By the end of Phase II, the anticipated TRL is 5, component validation in a relevant environment, achieved though high temperature semiconductor device testing at or above 500°C in this context.",DAF26BZ05-DV030,BOTH,SBIR,DOD,USAF,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12880
"F-16 Agnostic Rapid Weapons Integration","The Department of War recognizes that legacy software airworthiness processes within the Air Force are significantly limiting the ability to field software updates for aircraft on shorter timelines to integrate software updates more rapidly into its warfighting systems. The U.S. faces a critical shortfall in its ability to rapidly deploy new weapons and software. The existing munitions integration process is excessively slow and inflexible, often taking three to five years, preventing the U.S. from effectively countering rapidly specially evolving threats. This problem is especially urgent for employment of solutions from development of Family of Affordable Mass Munitions (FAMM).  A new, modular, and scalable weapons integration architecture is vital for rapid adaptation to new technologies and mission demands. This topic seeks to develop a modular and scalable weapons integration architecture, developed on the Open Systems Enclave (OSE) system to meet the critical F-16 modernization requirements outlined in the FY26 Air Reserve Component Modernization Book. A fielded solution will enable rapid airframe integration of new munitions, reducing the timeline from three to five years to one to two months (or days in an emergency). The speed of innovation accelerates rapidly when external capabilities are combined with an OSE. ",DAF26BZ05-DV031,BOTH,SBIR,DOD,USAF,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12881
"Sensing Algorithms for Bandwidth Efficient Edge Radars (SABER)","Distributed sensing radars serve as an important component of the Joint Force strategy for situational awareness, e.g., US Navy’s vision of Distributed Maritime Operations (DMO) [1] and advanced tactical imaging research. By networking physically dispersed radar nodes into a unified cooperative mesh, the Joint Force can fuse information to enhance surface target detection, track and identification. Furthermore, coordinating information from these dispersed nodes overcomes traditional single-platform limitations [1] such as single points of failure and limited angular diversity, especially in contested, high clutter environments. The transition to decentralized sensing and DMO fundamentally shifts the burden of performance from individual platform sensors to the underlying communication networks.  Functioning as a cohesive, decentralized system requires synchronization and low-latency data links. This is especially critical for imaging nodes. The fidelity of a decentralized system is directly proportional to the amount of data the network can move. Streaming raw radio frequency (RF) data allows for maximum imaging resolution but severely strains network capacity. Conversely, enabling nodes to process their own radar data and only sharing images or features reduces bandwidth requirements but results in degraded imaging in collaborative scenarios. Consequently, there is an operational need for new architectures and processing frameworks that explicitly relate communication, computation and sensing resources to surface target detection, tracking and identification performance metrics.  To address these challenges, this SBIR topic seeks solutions that jointly optimize communications and target inference in a decentralized radar sensing framework [2, 3, 4] that processes data locally and only transmits actionable intelligence or compressed imaging features into the network.",OSW26BZ05-NV017,BOTH,SBIR,DOD,OSD,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12844
"Tech Data Interactive Electronic Technical Manuals Convertor","The Navy is currently standardizing the format for technical manuals to facilitate the creation, management, and publication of IETMs. A significant portion of existing technical manuals has yet to be converted to the IETM format, making it challenging for users to easily navigate the information. These manuals also exist in various formats, lacking complete uniformity, which complicates parsing by automated tools and accurate display to the end-user.  The primary goal is to develop a tool or software that can automate the transformation of these diverse technical manuals into eXtensible Markup Language (XML), as XML documents are highly adaptable for various outputs. This XML output must then be formatted for compatibility with a Commercial Off-The-Shelf (COTS) or Government Off-The-Shelf (GOTS) tool, which can convert the information into step-by-step instructions.  Specifically, the objective is to create a tool capable of transforming any existing Navy technical manual, regardless of its original specification and format, while adhering to data rights release requirements. The transformed output must contain the appropriate distribution markings that match original inputted technical manual document and Defense Federal Acquisition Regulation Supplement (DFARS) markings. The output must be viewable in our designated IETMS viewer. The tool should be able to parse manuals from various formats, including PDFs, MIL-STD-3001-1, MIL-DTL-81310, S1000D v3.0, and S1000D v4.0, to extract relevant information.  This extracted information should be formatted for integration into a tool that generates quick, readable step-by-step instructions. These instructions should reference corresponding material and be displayed to the end-user, via an Extended Reality (XR) headset or tablet, during maintenance, troubleshooting, or operational procedures. The aim is to present these instructions within an Augmented Reality (AR) environment to enhance readability and digestibility. The tool should also be designed for integration with existing commercial or government tools.",DON26BZ05-NV078,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12861
"DIRECT TO PHASE II: Solution to Reduce Towing Based Mishaps During Flightline Operations","Towing procedures are frequent and indispensable flightline operations, essential for repositioning aircraft and other rolling support equipment for maintenance, fueling, parking, and deployment. Towing related mishaps can damage aircraft and ground support equipment, require costly repairs, and negatively impact mission readiness.  The Navy is seeking innovative solutions that can retrofit existing towing units with modern technology to enhance situational awareness for towing crews. The solution must be compatible with current Navy tow tractors (Mid-Range Tow Tractor (MRTT), Shipboard Tow Tractor (STT), and Large Land-Based Tow Tractor (LLTT)) and meet the rigorous military environmental conditions of the fleet. The proposed system must comply with all naval requirements, including operation in an Emission Controlled (EMCON) environment and meet electromagnetic interference (EMI) requirements for both shipboard and shore-based operations. The system must remain fully functional whether or not the unit is actively towing an object. Additionally, it must provide the towing crew with sufficient time to make informed decisions and prevent unintended collisions, accounting for acceleration and inertial effects.  The solution should incorporate real-time alert systems to warn towing crews of imminent collisions or innovative intervention systems capable of stopping the towing unit to prevent accidents. The approach may employ low-tech, human-in-the-loop solutions or high-tech, fully autonomous systems, provided mission needs are met. By reducing human error and improving operational safety, this technology will significantly decrease towing-related mishaps and help protect valuable military assets.",DON26BZ05-DV083,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12865
